Ticker,Date,Time,Open,High,Low,Close,Volume,OpenInterest 
BANKNIFTY-I,2016-08-01,12:35:59,18820.0000,18823.5508,18810.8496,18822.5000,16240,2004560
BANKNIFTY-I,2016-08-01,12:36:59,18819.9004,18836.0000,18810.0000,18822.9004,19160,2010800
BANKNIFTY-I,2016-08-01,12:37:59,18822.9004,18834.1504,18812.1504,18812.1504,10480,2010800
BANKNIFTY-I,2016-08-01,12:38:59,18808.8496,18822.1992,18805.0000,18822.0996,5720,2010800
BANKNIFTY-I,2016-08-01,12:39:59,18821.0508,18834.0000,18821.0508,18828.1504,8720,2027800
BANKNIFTY-I,2016-08-01,12:40:59,18828.1504,18828.9492,18806.9492,18810.0000,7600,2027800
BANKNIFTY-I,2016-08-01,12:41:59,18810.0000,18823.9004,18800.0000,18819.1504,9240,2027800
BANKNIFTY-I,2016-08-01,12:42:59,18819.1504,18824.5000,18810.0000,18811.0508,8920,2024400
BANKNIFTY-I,2016-08-01,12:43:59,18813.0508,18833.6992,18813.0508,18828.9004,7680,2024400
BANKNIFTY-I,2016-08-01,12:44:59,18829.3008,18829.3008,18816.0996,18820.9492,5960,2024400
BANKNIFTY-I,2016-08-01,12:45:59,18821.9492,18821.9492,18804.5996,18814.9492,6440,2018960
BANKNIFTY-I,2016-08-01,12:46:59,18814.0000,18817.8008,18810.0000,18812.7500,4400,2018960
BANKNIFTY-I,2016-08-01,12:47:59,18812.7500,18818.9492,18809.0508,18812.0000,5000,2018960
BANKNIFTY-I,2016-08-01,12:48:59,18812.0000,18812.0508,18801.5508,18805.8008,7120,2022480
BANKNIFTY-I,2016-08-01,12:49:59,18805.0000,18810.9004,18791.0508,18793.0508,9400,2022480
BANKNIFTY-I,2016-08-01,12:50:59,18793.0000,18799.1992,18785.0000,18794.0996,11440,2022480
BANKNIFTY-I,2016-08-01,12:51:59,18794.0996,18796.9492,18781.0508,18781.8008,8760,2025880
BANKNIFTY-I,2016-08-01,12:52:59,18781.0000,18785.5508,18771.5508,18783.8496,9080,2025880
BANKNIFTY-I,2016-08-01,12:53:59,18783.8496,18787.9492,18776.0000,18782.5000,5360,2025880
BANKNIFTY-I,2016-08-01,12:54:59,18783.0996,18798.4004,18777.0508,18796.0508,7440,2024440
BANKNIFTY-I,2016-08-01,12:55:59,18797.0508,18807.6504,18796.1992,18805.0000,6200,2024440
BANKNIFTY-I,2016-08-01,12:56:59,18805.0000,18814.0000,18799.5996,18808.0000,6960,2024440
BANKNIFTY-I,2016-08-01,12:57:59,18811.3496,18818.7500,18807.9004,18816.9492,6600,2017680
BANKNIFTY-I,2016-08-01,12:58:59,18817.0508,18823.9004,18815.3496,18820.0000,6160,2017680
BANKNIFTY-I,2016-08-01,12:59:59,18820.0000,18823.9004,18815.0000,18823.9004,4360,2017680
BANKNIFTY-I,2016-08-01,13:00:59,18824.0996,18824.0996,18817.0996,18817.5000,5280,2020280
BANKNIFTY-I,2016-08-01,13:01:59,18820.0000,18828.0000,18820.0000,18825.0508,6600,2020280
BANKNIFTY-I,2016-08-01,13:02:59,18825.0508,18826.0000,18816.3496,18819.5000,8160,2020280
BANKNIFTY-I,2016-08-01,13:03:59,18819.5000,18827.4492,18815.0000,18817.0508,8640,2027680
BANKNIFTY-I,2016-08-01,13:04:59,18817.0508,18820.0000,18805.0996,18810.9004,5240,2027680
BANKNIFTY-I,2016-08-01,13:05:59,18810.1504,18817.0000,18802.5508,18803.3496,7360,2027680
BANKNIFTY-I,2016-08-01,13:06:59,18801.0996,18808.4004,18792.0000,18800.0000,6160,2033360
BANKNIFTY-I,2016-08-01,13:07:59,18797.0000,18800.0000,18773.5000,18776.0000,22760,2033360
BANKNIFTY-I,2016-08-01,13:08:59,18776.0000,18779.6504,18767.2500,18778.9492,10640,2033360
BANKNIFTY-I,2016-08-01,13:09:59,18778.9492,18786.7500,18769.2500,18785.8496,8200,2046880
BANKNIFTY-I,2016-08-01,13:10:59,18783.0508,18788.4004,18772.5996,18780.2500,6280,2046880
BANKNIFTY-I,2016-08-01,13:11:59,18780.1504,18785.0000,18779.0000,18782.3008,4040,2046880
BANKNIFTY-I,2016-08-01,13:12:59,18780.0000,18780.0000,18741.9004,18751.0000,37800,2046760
BANKNIFTY-I,2016-08-01,13:13:59,18750.1504,18766.0000,18746.3008,18763.2500,14680,2046760
BANKNIFTY-I,2016-08-01,13:14:59,18763.2500,18775.0000,18761.4492,18775.0000,6040,2046760
BANKNIFTY-I,2016-08-01,13:15:59,18775.0000,18775.0000,18736.8496,18746.0996,14480,2054280
BANKNIFTY-I,2016-08-01,13:16:59,18750.7500,18750.8008,18718.3008,18725.3008,36200,2054280
BANKNIFTY-I,2016-08-01,13:17:59,18725.5508,18749.5000,18725.0996,18747.9492,20480,2054280
BANKNIFTY-I,2016-08-01,13:18:59,18745.0996,18764.5508,18745.0996,18760.0000,9760,2067320
BANKNIFTY-I,2016-08-01,13:19:59,18759.0996,18763.7500,18745.3008,18748.4492,9320,2067320
BANKNIFTY-I,2016-08-01,13:20:59,18746.2500,18755.9004,18740.0000,18755.9004,8080,2067320
BANKNIFTY-I,2016-08-01,13:21:59,18755.9004,18767.0000,18753.9004,18764.0996,5600,2070320
BANKNIFTY-I,2016-08-01,13:22:59,18764.0996,18780.0000,18764.0000,18776.0508,10200,2070320
BANKNIFTY-I,2016-08-01,13:23:59,18776.3496,18779.0508,18770.0508,18778.6504,5800,2070320
BANKNIFTY-I,2016-08-01,13:24:59,18778.6504,18787.0000,18777.0000,18786.0508,5800,2066920
BANKNIFTY-I,2016-08-01,13:25:59,18786.0508,18787.7500,18771.2500,18776.0996,5160,2066920
BANKNIFTY-I,2016-08-01,13:26:59,18776.0996,18789.0000,18776.0508,18785.0000,5360,2066920
